Landing Page,Impressions,Url Clicks,URL CTR,title,subtitle,date_published,date_updated
https://www.israelhayom.co.il/horoscopes/pisces/article/17406735,80161,4686,0.05845735457,מזל דגים: יום עם פוטנציאל רומנטי | תחזית הורוסקופ ליום שני,זהו יום עם פוטנציאל רומנטי. שימו לב לאנשים שאתם פוגשים,2025-02-23T21:30:01.000Z,2025-02-23T21:30:01.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/17036672,81584,6512,0.07981957247,"מזל דגים,  תחזית הורוסקופ שבועית, לשבוע של 27.12.2024 - 02.01.2025",במערכות יחסים האווירה אופטימית. תכירו אנשים חדשים שיפתחו בפניכם ערוצי מידע חדשים,2024-12-26T20:59:25.000Z,2024-12-26T20:59:25.000Z
https://www.israelhayom.co.il/horoscopes/aries/article/17357664,81620,6202,0.07598627787,"מזל טלה,  תחזית הורוסקופ שבועית, לשבוע של 14.02.2025 - 20.02.2025","נסו להשתלט על מערכת המטלות שלכם, וצאו לדרך חדשה עם תוכנית מסודרת. הציגו אותה בנחישות - ותקבלו תמיכה מכל הסובבים אתכם, שיעריכו את המיומנות המקצועית שלכם",2025-02-13T20:40:36.000Z,2025-02-13T20:40:36.000Z
https://www.israelhayom.co.il/horoscopes/gemini/article/16960085,76736,5771,0.07520590075,"מזל תאומים,  תחזית הורוסקופ שבועית, לשבוע של 13.12.2024 - 19.12.2024","תנסו להתנער מאחריות לדברים שכבר לא עונים על הציפיות שלכם, ותפנו מקום למשהו חדש שמעניין אתכם יותר. חפשו דרך לפזר מטלות בין העובדים, במיוחד אם אתם נמצאים בעמדה ניהולית",2024-12-13T07:14:04.000Z,2024-12-13T07:14:04.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/16910062,75111,6380,0.08494095405,"מזל דגים,  תחזית הורוסקופ שבועית, לשבוע של 06.12.2024 - 12.12.2024","תנסו לנצל את המציאות החדשה לטובת ביטוי העצמאות שלכם, ותבחרו להתנתק מאנשים או מסיטואציות שלא מיטיבים עימכם כדי להתחיל מחדש. תזכו להערכה על כל העשייה שלכם ויינתנו לכם הזדמנויות רבות",2024-12-05T21:04:03.000Z,2024-12-05T21:04:03.000Z
https://www.israelhayom.co.il/horoscopes/taurus/article/17446256,75045,4980,0.06636018389,"מזל שור,  תחזית הורוסקופ שבועית, לשבוע של 28.02.2025 - 06.03.2025","יצירתיות מחשבתית תדחף אתכם לעשייה אחרת. אתם באופוריה, אך לא תאבדו שליטה על ההתנהלות הכלכלית",2025-02-27T21:06:44.000Z,2025-02-27T21:06:44.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/16599141,76096,5862,0.0770342725,"מזל דגים,  תחזית הורוסקופ שבועית, לשבוע של 11.10.2024 - 17.10.2024","יהיה לכם חוסר התאמה בין הרצוי למצוי, ותנסו למצוא פתרון לכך. תבינו שהרצון שלכם לפתור בעיה מתמשכת אינו אפשרי זמנית",2024-10-11T04:47:33.000Z,2024-10-11T04:47:33.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/15347118,76278,5811,0.07618186109,"מזל דגים,  תחזית הורוסקופ שבועית, לשבוע של 01.03.2024 - 07.03.2024","חלק מכם חווים קושי לזרום, בכל המישורים. נסו להתפשר או להמתין בסבלנות",2024-02-29T20:45:19.000Z,2024-02-29T20:45:19.000Z
https://www.israelhayom.co.il/horoscopes/sagittarius/article/17036650,77510,5830,0.07521610115,"מזל קשת,  תחזית הורוסקופ שבועית, לשבוע של 27.12.2024 - 02.01.2025",הזדמנות להתחדש תרגש אתכם. אתם אוהבים הרפתקאות,2024-12-26T20:59:25.000Z,2024-12-26T20:59:25.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/15391549,75214,5286,0.07027946925,"יום ראשון, מזל דגים: הצלחות בשטח מדברות בעד עצמן",קשרים עם חברים חדשים מלבלבים ופורחים למרות שזה נראה בהתחלה כנגד כול הסיכויים. הצלחות בשטח מדברות בעד עצמן ולמי שלא צפה לכם הצלחה לא נותר אלא להודות בטעות,2024-03-09T21:30:40.000Z,2024-03-10T07:50:31.000Z
